HexCode,IntCode,Name,Message
0x80072559,-2147015335,"AADError","Error from AAD"
0x80048350,-2147187888,"AadGroupTeamsCanOnlyAssignInheritableRoles","Cannot assign security role with ""Team Privileges only"" Inheritance to AAD Group or Office Group teams. (TeamId = {0})"
0x80048370,-2147187856,"AccessCheckOrganizationMismatch","Not enough privilege to access the Microsoft Dynamics CRM object or perform the requested operation. The current OrganizationId {0} does not match with user or team's OrganizationId {1}."
0x80048405,-2147187707,"AccessDenied","Access is denied."
0x80060904,-2147088124,"AccessDeniedSharePointRecord","Access denied on SharePoint record in Dynamics 365."
0x80048d2f,-2147185361,"AccessModeChangeNeedSystemAdmin","You need to have system administrator role and access mode Full to change access mode of a user. Details: {0}"
0x8005F101,-2147094271,"AccessTokenExpired","The requested resource requires authentication."
0x80040502,-2147220222,"AccountDoesNotExist","Account does not exist."
0x80040507,-2147220217,"AccountLoopBeingCreated","Creating this parental association would create a loop in Accounts hierarchy."
0x80040506,-2147220218,"AccountLoopExists","Loop exists in the accounts hierarchy."
0x80071100,-2147020544,"ActionCardDisabledError","Action Card feature is not enabled."
0x80071103,-2147020541,"ActionCardInvalidStateCodeException","Invalid state code passed in expression."
0x8006040e,-2147089394,"ActionStepInvalidPipelineStageid","ActionStep references invalid Pipeline Stage Id."
0x8006041c,-2147089380,"ActionStepInvalidProcessAction","ActionStep {0} references invalid Process Action {1}."
0x8006040d,-2147089395,"ActionStepInvalidProcessid","ActionStep references invalid Process Id."
0x8006040c,-2147089396,"ActionStepInvalidStageid","ActionStep references invalid Stage Id."
0x80060382,-2147089534,"ActionSupportNotEnabled","Business Processes containing an Action Step cannot be exported because Action Step support is still a Public Preview feature and it is not currently enabled for this organization."
0x80061001,-2147086335,"ActivePropertyValidationFailed","You can't create a property instance for an inactive property."
0x80040526,-2147220186,"ActiveQueueItemAlreadyExists","An active queue item already exists for the given object. Cannot create more than one active queue item for this object."
0x8004F871,-2147157903,"ActiveSlaCannotEdit","You can't edit an active SLA. Deactivate the SLA, and then try editing it."
0x80060455,-2147089323,"ActiveStageIdDoesNotMatchLastStageInTraversedPath","Active Stage ID ‘{0}’ does not match last Stage ID in Traversed Path ‘{1}’. Please contact your system administrator."
0x80060449,-2147089335,"ActiveStageIDIsNull","Error updating the Business Process: Active Stage ID cannot be empty."
0x80100002,-2146435070,"ActiveStageIsNotOnLeadEntity","Active stage is not on 'Lead' entity."
0x80044275,-2147204491,"ActivityAnalysisOrganizationUpdateError","Relationship Analytics organization setting can only be enabled if Relationship Analytics solution is installed."
0x8004F121,-2147159775,"ActivityCannotHaveRelatedActivities","A custom entity defined as an activity must not have a relationship with Activities."
0x80048501,-2147187455,"ActivityEntityCannotBeActivityParty","An activity entity cannot be also an activity party"
0x80043513,-2147207917,"ActivityInvalidObjectTypeCode","An Invalid type code was specified by the throwing method"
0x80043512,-2147207918,"ActivityInvalidSessionToken","An Invalid session token was passed into the throwing method"
0x8004F126,-2147159770,"ActivityMetadataUpdate","The metadata specified for activity is invalid."
0x8004F123,-2147159773,"ActivityMustHaveRelatedNotes","A custom entity defined as an activity must have a relationship to Notes by default."
0x80090415,-2146892779,"ActivityNotSupported","Activity is not supported in your organization. Unable to process Entity {0} with IsActivity={1}, IsActivityParty={2} and HasRelatedActivities={3}."
0x80043506,-2147207930,"ActivityPartyObjectTypeNotAllowed","Cannot create activity party of specified object type."
0x80094006,-2146877434,"ActivityPartyParticipationTypeMaskNotFound","The Activity Party type Mask '{0}' not found."
0x80090204,-2146893308,"AdlsSASTokenForExternalLakeForbidden","Requesting SAS token for an external lake is only allowed for first party applications."
0x80090202,-2146893310,"AdlsServiceClientError","Received unsuccessful response from CDS ADLS service indicating client error. Error code: ({0}); Response: {1}"
0x80090200,-2146893312,"AdlsServiceConfigurationInvalidData","Configuration data for CDS ADLS service client is invalid. Setting: {0}, value :{1}."
0x80090201,-2146893311,"AdlsServiceConfigurationMissingData","Configuration data missing for CDS ADLS service. Setting: {0}."
0x80090203,-2146893309,"AdlsServiceServerError","Received unsuccessful response from CDS ADLS service indicating server side error. Error code: ({0}); Response: {1}"
0x8004F50C,-2147158772,"AdminProfileCannotBeEditedOrDeleted","The System Administrator field security profile cannot be modified or deleted."
